username,userid,created,text,retweets,followers,friends,polarity,subjectivity
Seth Abramson,3223426134,2019-12-08 20:36:10,BREAKING NEWS: Trump Supporters Begin Making Public Assassination Threats Against GOP Senators Reportedly Open to I... https://t.co/DnIWd5jkQO,9195,739001,28,0.0,0.2833333333333333
Adam Schiff,29501253,2019-12-07 19:35:17,"Over 500 legal scholars agree President Trump committed impeachable conduct:

President Trump betrayed his oath of... https://t.co/a3kZNWMunN",21359,1736791,789,0.2,0.2
Charlie Kirk,292929271,2019-12-08 00:11:07,"Devin Nunes is claiming Adam Schiff's released phone records don't match his office's phone records

The White Hous... https://t.co/4TFacP68xX",29184,1421417,235244,0.0,0.0
Dan Bongino,232901331,2019-12-07 19:10:09,"Obama supporters, and Obama, on the dreadful Obama economy: ""Bush did it!""

Obama supporters, and Obama, on the  vi... https://t.co/h4CVE7PAzp",11304,1325458,650,-1.0,1.0
Bill Kristol,2800581040,2019-12-08 14:07:03,"The pardons were bad enough. Now Trump celebrates those he pardoned, convicted by a jury of their peers, bringing o... https://t.co/XkF8d6G5rc",5239,558897,4465,-0.3499999999999999,0.5833333333333333
Joyce Alene,548384458,2019-12-08 12:05:08,"As more details emerge, it's hard not to ask whether Trump will give even terrorism a whitewash if his business par... https://t.co/Oqu0yqt8HP",8485,425315,998,0.10416666666666666,0.5208333333333333
Jon Cooper 🇺🇸,27493883,2019-12-08 13:48:26,The House should impeach Trump now but NOT send it to the Senate. Continue investigating and add supplemental artic... https://t.co/DgooCrq1us,11041,360647,36180,0.0,0.0
Sara A. Carter,25202268,2019-12-08 03:08:18,"These are the 3 GOP senators that could vote to #impeach #Trump: 

- Sen. Susan Collins (Maine) 
- Sen. Mitt Romney... https://t.co/eQGzroAFHl",6238,902391,4707,0.0,0.0
Charlie Kirk,292929271,2019-12-08 16:05:40,"Facts:

Obama's approval rating at this point in his presidency--46%

Trump's approval rating--52%

Despite a nonstop... https://t.co/7M44tkIm6z",12138,1421417,235244,0.0,0.0
Nancy Pelosi,15764644,2019-12-08 14:16:42,"Leading Constitutional scholars were clear: President Trump abused his power, will continue trying to corrupt our d... https://t.co/2Fxys2WdhP",10477,3462316,362,-0.19999999999999998,0.6916666666666667
Scott Dworkin,14247236,2019-12-07 23:34:02,BREAKING: Here's video I just dug up of Eric Trump in Ukraine. Let's make this viral. It's time to investigate Eric... https://t.co/n44vQmTXvR,16210,550753,80559,0.0,0.0
Laurence Tribe,4091551984,2019-12-08 12:52:20,It increasingly looks like Trump is in bed not just with one butcher (Vladimir Putin) but with two (Putin and the S... https://t.co/NceMgENYyV,12475,675065,1860,0.0,0.0
Donald J. Trump,25073877,2019-12-08 21:08:20,"""The Democrats haven't come up with a smocking gun. Nancy Pelosi, by raising this to the level of Impeachment, has... https://t.co/KaskjpiEu1",11601,67354710,48,0.0,0.0
Randy Quaid,2996253413,2019-12-07 23:06:12,"Trump is God's instrument - a dynamo made for this moment in our history, easily deflecting the slings &amp; arrows hur... https://t.co/3FdEEe419Z",6727,153011,720,0.43333333333333335,0.8333333333333334
David Corn,15220768,2019-12-07 21:19:22,"As a private citizen, like @RudyGiuliani, can I submit a report to the attorney general, about possible Trump crime... https://t.co/cye5ov4vu1",5745,782338,1694,0.016666666666666673,0.625
Charles V Payne,19400611,2019-12-07 15:17:44,"So, let me get this straight.  Canada lost 71,000 jobs last month (equvilent   to US losing 500,000) and Paris is s... https://t.co/cKRASusd1t",29233,413301,16827,0.1,0.23333333333333334
Donald J. Trump,25073877,2019-12-07 17:32:30,"Taken during the Obama Administration (despite $150 Billion gift), returned during the Trump Administration. Thank... https://t.co/vin8gXyEWs",15786,67354710,48,0.0,0.0
Kyle Griffin,32871086,2019-12-07 16:00:04,"L.A. Times Editorial Board: ""We've seen enough. Trump should be impeached."" https://t.co/7SRbQyMuvi",5970,656004,885,0.0,0.5
Sara A. Carter,25202268,2019-12-07 14:29:49,"These are the 3 GOP senators that could vote to #impeach #Trump: 

- Sen. Susan Collins (Maine) 
- Sen. Mitt Romney... https://t.co/7rydDYBl9V",10431,902391,4707,0.0,0.0
Lawrence O'Donnell,158426909,2019-12-07 17:00:26,"For someone who made it through college, a tiny vocabulary is an indicator of an imperviousness to learning. Trump... https://t.co/i40qkb4EeZ",5306,2609025,1056,0.0,0.5
Jonah Goldberg,71627462,2019-12-07 16:50:21,"Friend: ""Biden did the same thing they're accusing Trump of doing.""
Me: ""He really didn't, but ok let's say he did.... https://t.co/O0QInwPS73",8058,335217,1169,0.2333333333333333,0.27499999999999997
Adam Parkhomenko,18382184,2019-12-07 17:07:20,trump said in a press conference that the nation could see the transcript of Pence's call with Zelensky. And then Pence had it classified.,4513,325913,92272,0.0,0.0
Mehdi Hasan,130557513,2019-12-07 16:20:01,"Why is she doing this? Seriously, why? Joining Howard Stern, lifelong friend of Trump, to mock Bernie Sanders, who... https://t.co/l69XC7J5L1",6034,760655,2581,-0.21666666666666667,0.6333333333333333
Laurence Tribe,4091551984,2019-12-07 19:00:55,I strongly urge everyone to treat this as vital reading that lays out the legal case for impeaching President Trump... https://t.co/27TouHzQef,2917,675065,1860,0.24444444444444446,0.4444444444444444
