TITLE,ID,VIEWS,LIKES,DISLIKES,COMMENTS,FAVORITES,LIKE/DISLIKE RATIO
Ollie Joseph - Ranch Ft. HUSH &amp; Nate Rose,HBBLEry4ZS4,6801,212,8,16,0,26.5
Renovating an Abandoned Mansion Part 5,8MMaU-6W4ks,343080,21054,360,2486,0,58.483333333333334
The Ranch: Part 7 | Official Trailer | Netflix,VHG00LIh0WU,525558,8720,284,1205,0,30.704225352112676
Inside a MASSIVE $2.4 Million Colorado Ranch | Ryan Serhant Vlog #84,h0LGgeCJVsE,219160,5573,106,577,0,52.575471698113205
The Ranch Tour,tDwumQzF1fo,189715,3905,43,448,0,90.81395348837209
Ranch Dressing Recipe -- Chef John&#39;s Ultimate Ranch Dressing,Wa1WZqUi8AY,361835,7512,90,623,0,83.46666666666667
Ein Kusschen unter Freunden | Folge 14 | Lenas Ranch,cWmtuQEdonY,726576,5422,380,371,0,14.26842105263158
The Ranch | Official Trailer [HD] | Netflix,epCvKyjH7g8,2545551,7370,1364,1137,0,5.403225806451613
Florida Family Ranch - Ranching Round-Up: America&#39;s Heartland,GLETAdwgQn4,687028,1667,168,53,0,9.922619047619047
Leckermaul - Staffel 2 Folge 24 | Lenas Ranch,gc31QzYZ9V0,367806,3288,196,205,0,16.775510204081634
"Triangle X Ranch - Jackson Hole, Wyoming",7GXMdmggIzA,364063,2014,69,123,0,29.18840579710145
